Source,Text,Antisemitic (Yes/No),Implicit or Explicit if antisemitic,Rationale if antisemitic,Other rationale if not listed in Column E
Toxigen," A Jewish New Yorker recently had his ketubah stolen by a waiter he'd tipped pretty generously by his standards, but which the waiter still felt he",No,,,
Toxigen," A representative from the university confirmed that the event will go on as planned, despite the allegedly exclusionary nature of the event. ""We are sorry if",No,,,
Toxigen," A widespread conspiracy theory holds that there is a group of elites, including many Jews, that are trying to gain undue control over governments and economies.",No,,,
Toxigen," also, i will end this by saying that I do not necessarily support Trump -- this post is just generally about anti-semitism I",No,,,
Toxigen," I'm not telling everyone to put on a yamaka and gezenge and walk to temple with a gun in your hands, because this is",Yes,Implicit,General call to harm Jewish people without a specific reason,
Toxigen," In the last two months, left-leaning Jews have issued statements criticizing identitarianism and the practice of delegitimizing the State of Israel and",No,,,
Toxigen," jewish issues are framed as ""internal"" jewish issues are framed as ""can't be discussed"" or ""taboo""",Yes,Explicit,Promotes the myth that Jewish people are dishonest (but not about Holocaust denial),
Toxigen," Last Friday, Sarah Silverman came out in favor of Bernie Sanders. She said that I âhave a lot to learnâ about the",No,,,
Toxigen," my fatherâs middle name is gottesman, which is a historically jewish name",No,,,
Toxigen," Rachel Freier-- judge in new yorkWhy I'll Timeout My Kids says ""no"" when I was a child, I",No,,,
Toxigen," the founding of Israel was an event of great hope, for all jews and for those who love jews",No,,,
Toxigen," the only group of people who really want to repress free speech tend to be wealthy and for the most part, chinese\ ",No,,,
Toxigen," there are four sites that split the land, and jews are forbidden from praying there",No,,,
Toxigen_ann," We have a sign, and this sign is the name of God",No,,,
Toxigen," When I think about how I'd like my 3 month old son, Liam, to grow up, there is one quality that really stand out to me",No,,,
Toxigen," when Lisa's Jewish neighbours moved away, Marge was excited at the possibility of having the Cheaper By The Doze",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
Echo,"......... #Block Mexicans @Mexican_Block !!!

-----------------&gt; ( #Niggas ) too ...",No,,,
ADL,"…they manage the media, the finances and have hidden the truth from the world.",Yes,Explicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
SBIC,"""""""Baby girl that pussy wetter than chicken noodle soup"""" @KodakBlack1k""",No,,,
SBIC,"""""""bro i'm actually about to get so lit in this article"""" - @kileab1 one bottle of wine down vs uni work.""",No,,,
SBIC,"""the sbux lady saw a pic i took of their wall on my phone and goes """"seriously how did they do that"""" and i said """"ya i know it was me""""&#128514;""",No,,,
ADL,“To Jew someone down” became a common expression meaning to bargain unscrupulously for a lower price.,No,,,
Echo,(((((((((☆boooom☆))))))))))))) http://t.co/UFHhtiEAe8,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,"(((Echoes))), exposed: The secret symbol neo-Nazis use to target Jews online https://t.co/mNj1cRXiYW via @MicNews",No,,,
Toxigen,"(Aug 1st) The jews act as bludgers, and try to get as much wealth as they can from a situation-",Yes,Explicit,Promotes the myth that Jewish people are greedy and selfish.,
ADL,"[Adolf Hitler] didn’t kill six million Jews. That’s just, like, factually incorrect…The Holocaust is not what happened. Let’s look at the facts of that.",Yes,Explicit,Holocaust denial,
SBIC,[Newcels get in here] When Normies say young love is overrated....,No,,,
Echo,"@ADP_CDA a kike, a gook, a bindi and a nigger.  

these aren't my people, nor are they 90% of Canada's people.",Yes,Explicit,"Depicts Jewish people as an ""other"" that don't belong in a certain country (i.e. xenophobia).",
Echo,@AnimaILife @Overdenken Love it!,No,,,
Echo,@Basseyworld (((in mama n'em voice))) chiiiiiiiile | who u tellin blk!,No,,,
Echo,@CharlesLamadrid @JBurtonXP @AnnCoulter (((Nobel Prize))),Yes,Implicit,"Promotes seemingly benign stereotypes that Jewish people are financially successful, smart, and hardworking.",
Echo,"@ElDeeTres can you blame him? All those spics, niggers, gooks, and queers?",No,,,
Echo,@fackinpeter delusional. all (((media))) against Trump. no surprise their polls are unfavorable. So why exactly are YOU against?,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,@Get_Logical it's a good one and not just for Veteran's day but always!!,No,,,
Echo,@happyrunningmom Thanks Sherry! Happy Wednesday!!!!,No,,,
Echo,@ItstheBloom nossa quero,No,,,
Echo,@JaredTSwift @Ricky_Vaughn99 @Rockprincess818 the (((Breitbart))) article is pretty cucked imo in that it fixates on Muslims. Dat last line.,Yes,Explicit,General call to harm Jewish people without a specific reason,
Echo,"@KarenJBateson You never ""gave us the right"" to be racist, we took it ourselves. Never forget: you can't stop us.",No,,,
Echo,@KCSwain99 @_HankRearden @hateful_heretic @tonyharrisfilms @TheNostromoDos ironically called the (((Streisand))) effect,Yes,Implicit,"Promotes the myth that Jewish people are all-powerful, controlling the media, the economy, and the weather, among other institutions.",
Echo,@KlavsAugulis @BasedLoller_ @AlimonyMindset you mean the leaf village logo didn't give it away?,No,,,
Echo,@MarkDice Next up on (((their agenda))) is #Bestialiaphobia . Give it 10 years. #Shitlibs and #SJWs have no #RockBottom.,Yes,Implicit,General call to harm Jewish people without a specific reason,
Echo,"@MarlanaFire &gt; A (((Jew)))
Filth.",Yes,Explicit,Depicts Jewish people as dirty.,
