,response,in_tokens,out_tokens
0,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
1,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
2,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
3,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [11]
}
```",336,30
4,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
5,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",359,30
6,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
7,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
8,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
9,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
10,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
11,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
12,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 8, 11]
}
```",342,36
13,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [9]
}
```",336,30
14,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",343,30
15,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
16,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 10]
}
```",339,33
17,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [4, 10, 11]
}
```",342,36
18,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 10, 11]
}
```",342,36
19,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [4, 11]
}
```",339,33
20,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",362,30
21,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 13]
}
```",339,33
22,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
23,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [8, 12]
}
```",339,33
24,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
25,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
26,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
27,"```json
{
  ""antisemitic"": true,
  ""category"": ""C"",
  ""type_of_expression"": [9]
}
```",336,30
28,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 8]
}
```",339,33
29,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [10, 7]
}
```",339,33
30,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7]
}
```",336,30
31,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
32,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
33,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
34,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [10, 11, 12]
}
```",342,36
35,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
36,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
37,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 11, 12, 13]
}
```",345,39
38,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
39,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [9, 12]
}
```",339,33
40,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",353,30
41,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [11]
}
```",336,30
42,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
43,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",359,30
44,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
45,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12, 13]
}
```",339,33
46,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
47,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",342,30
48,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
49,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
50,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
51,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
52,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 11]
}
```",339,33
53,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7]
}
```",336,30
54,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
55,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
56,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 11]
}
```",339,33
57,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
58,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 8]
}
```",339,33
59,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
60,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
61,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12, 13]
}
```",339,33
62,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [9, 12, 13]
}
```",342,36
63,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
64,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",336,30
65,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 12, 14]
}
```",342,36
66,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",344,30
67,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [8, 10]
}
```",339,33
68,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [9, 12]
}
```",339,33
69,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
70,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
71,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
72,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
73,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 13]
}
```",339,33
74,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
75,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
76,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [7, 10, 11, 12]
}
```",345,39
77,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [14]
}
```",336,30
78,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10]
}
```",336,30
79,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",351,30
80,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
81,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
82,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
83,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
84,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
85,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
86,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
87,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
88,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
89,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
90,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",352,30
91,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [10, 11]
}
```",339,33
92,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12, 13]
}
```",339,33
93,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [7, 10, 11]
}
```",342,36
94,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
95,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [10]
}
```",336,30
96,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
97,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",350,30
98,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [11]
}
```",336,30
99,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
100,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
101,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
102,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",353,30
103,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
104,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
105,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10, 11, 12]
}
```",342,36
106,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
107,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
108,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
109,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12, 13]
}
```",339,33
110,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
111,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",344,30
112,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
113,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
114,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12, 13]
}
```",339,33
115,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
116,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
117,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",353,30
118,"```json
{
  ""antisemitic"": false,
  ""category"": ""A"",
  ""type_of_expression"": [0]
}
```",376,30
119,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [8, 10, 11, 12]
}
```",345,39
120,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [10]
}
```",336,30
121,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [12]
}
```",336,30
122,"```json
{
  ""antisemitic"": true,
  ""category"": ""D"",
  ""type_of_expression"": [13]
}
```",336,30
123,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [9]
}
```",336,30
124,"```json
{
  ""antisemitic"": true,
  ""category"": ""B"",
  ""type_of_expression"": [10, 11]
}
```",339,33
