,response,in_tokens,out_tokens
0,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",323,26
1,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",322,26
2,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",325,26
3,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",325,26
4,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",360,26
5,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",327,26
6,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",351,26
7,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",328,26
8,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",335,26
9,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",337,26
10,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",339,26
11,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",339,26
12,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",328,26
13,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",351,26
14,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",323,26
15,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",319,26
16,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",350,26
17,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",331,26
18,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",329,26
19,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",337,26
20,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",322,26
21,"```json
{
  ""type_of_incident"": [1, 2],
  ""other_type_of_incident"": """"
}
```",328,29
22,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",321,26
23,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",317,26
24,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",326,26
25,"```json
{
  ""type_of_incident"": [2],
  ""other_type_of_incident"": """"
}
```",357,26
26,"```json
{
  ""type_of_incident"": [3],
  ""other_type_of_incident"": """"
}
```",334,26
