,response,in_tokens,out_tokens
0,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",293,29
1,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",292,29
2,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",295,29
3,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",295,29
4,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",330,29
5,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",297,29
6,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",321,29
7,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",298,29
8,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",305,29
9,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2, 3]
}
```",307,32
10,"```json
{
  ""describes_antisemitic_event"": false,
  ""type_of_incident"": [0]
}
```",309,29
11,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",309,29
12,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",298,29
13,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",321,29
14,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",293,29
15,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",289,29
16,"```json
{
  ""describes_antisemitic_event"": false,
  ""type_of_incident"": [0]
}
```",320,29
17,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",301,29
18,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",299,29
19,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",307,29
20,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",292,29
21,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [1, 2]
}
```",298,32
22,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",291,29
23,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",287,29
24,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",296,29
25,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",327,29
26,"```json
{
  ""describes_antisemitic_event"": false,
  ""type_of_incident"": [0]
}
```",304,29
27,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",305,29
28,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [1, 2]
}
```",294,32
29,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",329,29
30,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",296,29
31,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",293,29
32,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2, 3]
}
```",332,32
33,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [1, 2]
}
```",299,32
34,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",317,29
35,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",292,29
36,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2, 3]
}
```",301,32
37,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",294,29
38,"```json
{
    ""describes_antisemitic_event"": true,
    ""type_of_incident"": [2]
}
```",302,29
39,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",322,29
40,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",337,29
41,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",321,29
42,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",309,29
43,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",323,29
44,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",316,29
45,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",322,29
46,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",325,29
47,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",297,29
48,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",298,29
49,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",312,29
50,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",290,29
51,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [3]
}
```",304,29
52,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",330,29
53,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",327,29
54,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",325,29
55,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",300,29
56,"```json
{
    ""describes_antisemitic_event"": true,
    ""type_of_incident"": [2]
}
```",314,29
57,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",324,29
58,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",317,29
59,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",322,29
60,"```json
{
  ""describes_antisemitic_event"": true,
  ""type_of_incident"": [2]
}
```",334,29
